id,name,tripIds,stopIds
2392249249,La Ferté-Milon - (5) -> Meaux,IDFM:TN:SNCF:af8435e9-31dd-44fd-805e-c9efc437ff6a,"IDFM:411373,IDFM:411376,IDFM:69435,IDFM:69237,IDFM:69162,IDFM:68960,IDFM:68963"
28924011,La Ferté-Milon - (5) -> Meaux,"IDFM:TN:SNCF:11394afc-def9-4f3f-8fb0-2d472a1942da,IDFM:TN:SNCF:125c29f7-7e7e-4833-b6a9-4e1929946a63,IDFM:TN:SNCF:2aa7ee27-a563-4089-aecc-8cc867214761,IDFM:TN:SNCF:2b3323e5-ec70-459e-b91a-a9fda22474d1,IDFM:TN:SNCF:2c91e1de-6dc7-4326-84d6-969da58ef876,IDFM:TN:SNCF:2ff9b42d-b43e-489d-bc3a-77f10741407b,IDFM:TN:SNCF:3244b014-b88d-4a63-aac5-c6bc10ed5c24,IDFM:TN:SNCF:33f4fe96-d875-4203-b654-c69e8b57d23f,IDFM:TN:SNCF:3c93510f-8ab8-4271-8d11-14f368c6332b,IDFM:TN:SNCF:48df94d5-1b0c-4632-abe4-6a5fc37bbfb0,IDFM:TN:SNCF:5225657a-e779-4db5-9cb4-f8050e08baf5,IDFM:TN:SNCF:53396925-5ab3-4f87-9cb2-8d472de89556,IDFM:TN:SNCF:55c4adec-bdd0-4248-9f5e-9d67cbd1bed0,IDFM:TN:SNCF:5700bae3-b06b-4006-8bc0-37e499bb7df8,IDFM:TN:SNCF:5900ca49-de7b-469c-883f-3ce0811bec48,IDFM:TN:SNCF:6b9ed878-744b-45b9-9e8d-aa8c6e17c1f4,IDFM:TN:SNCF:6bc59a84-aac3-4090-a58b-3e4ae836d98b,IDFM:TN:SNCF:77c91be6-08fa-4245-9bfe-b8f3b1bdf220,IDFM:TN:SNCF:7ad9b907-9c89-4ba5-a97b-7df03f2a318c,IDFM:TN:SNCF:7fa8b76b-4fdb-4f61-95c5-ded9b438b984,IDFM:TN:SNCF:80acc57e-0e7a-4c5b-94c8-e75bb74e8ad9,IDFM:TN:SNCF:86be6bc8-c847-4189-8375-3cb835c3c2c4,IDFM:TN:SNCF:87eaf5a6-7fd2-430f-86ee-c0b46327cebe,IDFM:TN:SNCF:8bbbe331-112f-494f-ae90-3cf87e1b96aa,IDFM:TN:SNCF:9cf5bf78-20cc-4f51-ade3-08eea3883381,IDFM:TN:SNCF:a38959fd-fba0-4429-8cbb-33b4a728fa69,IDFM:TN:SNCF:a51791a0-79ed-47e8-a11d-47158559ef0c,IDFM:TN:SNCF:a7fee1c5-d481-4cbe-85b4-2c82612c6d4f,IDFM:TN:SNCF:ab68cbd9-fc5c-463e-b92d-8ccef719c30a,IDFM:TN:SNCF:c34958eb-5284-4802-b99d-adf4910a03f4,IDFM:TN:SNCF:c866ff56-515c-42bd-8d44-85ff579ed8f8,IDFM:TN:SNCF:d0ae1454-762a-4ca8-a0d1-aba0433e9200,IDFM:TN:SNCF:e4837c9e-86c1-4f3d-9f4d-99340cbb361a,IDFM:TN:SNCF:f26edbe7-97fd-40d3-86f6-e0cd4a1c71ff,IDFM:TN:SNCF:f772ede6-15f0-4f6b-ac0f-16b991f0e4c2,IDFM:TN:SNCF:fd1c56fc-464a-47a4-ab9d-d46b3374c6f2,IDFM:TN:SNCF:ff49a629-f4bc-4b89-9170-f991ba6a882e,IDFM:TN:SNCF:ffba5ca8-fe53-4075-9389-a5eefba3b04c","IDFM:411373,IDFM:411376,IDFM:69435,IDFM:69237,IDFM:69162,IDFM:68984,IDFM:68963"
3295948114,La Ferté-Milon - (6) -> Gare de l'Est,"IDFM:TN:SNCF:3b5c312d-d1cb-47a9-befe-97f047b1ca96,IDFM:TN:SNCF:7bf40d7f-5ba5-4038-bcc8-4c5b57cb3ba3,IDFM:TN:SNCF:efd8fbfa-fff4-47ea-8ede-988017a5c7d3,IDFM:TN:SNCF:f9d75cc8-4e84-4d06-af30-e80c068c658f","IDFM:411373,IDFM:411376,IDFM:69435,IDFM:69237,IDFM:69162,IDFM:68984,IDFM:68963,IDFM:71359"
2956432847,Château-Thierry - (6) -> Meaux,"IDFM:TN:SNCF:03e8508e-2897-4d9d-91ca-625aaada8cb1,IDFM:TN:SNCF:23eb3ef4-a3b2-4c4c-bbcc-9e023c719f99,IDFM:TN:SNCF:31ff94e0-ecbd-4c3c-ae68-ab3a116ea802,IDFM:TN:SNCF:352db171-ab7a-4dc8-8f46-91a251440cf4,IDFM:TN:SNCF:4723bf60-8da7-4fa0-9b79-fed4019b3239,IDFM:TN:SNCF:57c4db6d-96b6-4e0f-ac42-0f73648457b3,IDFM:TN:SNCF:57f9dd96-510b-4c29-88f6-bfe140501048,IDFM:TN:SNCF:700cd11e-f52d-45e6-91d9-61883ec59b80,IDFM:TN:SNCF:a7adf7b5-7058-4834-84e1-d31c4d0e024a,IDFM:TN:SNCF:b6e99e46-a8f3-4815-ba72-c57c7163119c,IDFM:TN:SNCF:b7e279d7-98d1-47cf-9e83-66288c189869,IDFM:TN:SNCF:bf424052-2a20-4563-9781-799778b35c1d,IDFM:TN:SNCF:e4b7a537-4635-467c-a6e0-9fe72bac7ff8,IDFM:TN:SNCF:e7e7fa32-5cf4-4b6c-8693-a6868e421bc5,IDFM:TN:SNCF:ed8591dd-8416-4bb7-8c54-1eb369e49d56,IDFM:TN:SNCF:f2258f87-5b3c-4822-97f7-85f18199e9b9,IDFM:TN:SNCF:f9b81b11-dd06-409f-bc0c-2f5bf56af951","IDFM:411379,IDFM:411382,IDFM:411385,IDFM:69072,IDFM:68918,IDFM:68980,IDFM:68960,IDFM:68963"
1101361654,Château-Thierry - (7) -> Gare de l'Est,"IDFM:TN:SNCF:5d4bc3af-cfd3-4db4-ad0c-98c88f8df5dd,IDFM:TN:SNCF:8534161a-81bd-48a8-89ca-48e981371bf2,IDFM:TN:SNCF:b7c6f486-1bd9-4a9c-a8b2-7783b22e8d0d,IDFM:TN:SNCF:cc47bd08-3baf-40c1-8b4f-564f77e2ff01,IDFM:TN:SNCF:f25e7344-a3cc-4359-9c76-301dd4929cc2","IDFM:411379,IDFM:411382,IDFM:411385,IDFM:69072,IDFM:68918,IDFM:68980,IDFM:68960,IDFM:68963,IDFM:71359"
4248494524,Château-Thierry - (7) -> Gare de l'Est,"IDFM:TN:SNCF:001380cd-acea-418b-bdb6-ab28350efabe,IDFM:TN:SNCF:00c6780b-bcf4-4a52-ae71-ae1a9ce3a711,IDFM:TN:SNCF:07cbe0db-711d-4673-9403-34265410bf39,IDFM:TN:SNCF:09fc4974-566a-4de1-80c1-f409acce1742,IDFM:TN:SNCF:0eb5945c-4ec3-43d1-82ba-3b979b30046c,IDFM:TN:SNCF:141aa7e7-1450-4d0f-a9f1-64a7002e1876,IDFM:TN:SNCF:144cfb71-eb65-47de-8aa2-b7728969b636,IDFM:TN:SNCF:16e54ef7-67e9-4baa-a154-d42bf2dadf44,IDFM:TN:SNCF:195d10f5-3953-4a0a-8c2f-a0896418059c,IDFM:TN:SNCF:23b6f0fd-5e05-4d61-a5b4-3998816c5bd1,IDFM:TN:SNCF:260be754-72a3-461d-aa57-2862000d9c27,IDFM:TN:SNCF:3169cb32-1a05-4bc7-a2e9-b5ddfb572a34,IDFM:TN:SNCF:3374209a-05b0-4e56-811c-da152376b053,IDFM:TN:SNCF:3a57fc3c-b7e4-403e-935e-742ca7b072ed,IDFM:TN:SNCF:3d087671-31cc-4bec-8172-3fe32c6a345d,IDFM:TN:SNCF:40b16c36-e85c-4d94-87a3-1416bbda5114,IDFM:TN:SNCF:4c7f6cf7-83e1-41da-9bef-8f08503d544e,IDFM:TN:SNCF:4ef55ae4-fd5b-4cfa-8919-a71074a1ad22,IDFM:TN:SNCF:608dfa1f-3861-45b9-97f5-6d8bf04f038c,IDFM:TN:SNCF:61ae6821-d463-4dfa-ba6b-2e357d953b82,IDFM:TN:SNCF:6239c654-e118-4ad4-85c1-81948da5be60,IDFM:TN:SNCF:6cac1192-3552-43cf-990f-184b448f55c2,IDFM:TN:SNCF:6fbed15e-3603-4ade-8e78-0045466b6d04,IDFM:TN:SNCF:756b450b-0917-4768-bc79-d5fba50c614d,IDFM:TN:SNCF:769eea77-4d00-45ad-8a3d-82b3fa0bc768,IDFM:TN:SNCF:76db9d29-c583-4532-b1d6-5329e0ecb53e,IDFM:TN:SNCF:7aebfd7b-5c8e-4e82-8aaf-eed010dd6b55,IDFM:TN:SNCF:7b45174e-e66e-45d5-8769-02e4ff1a163e,IDFM:TN:SNCF:7c061c6d-d4a8-4890-8a84-60ffcfe42fe1,IDFM:TN:SNCF:7e529582-0de3-4655-ae04-c5030e4d2bdb,IDFM:TN:SNCF:80f869a0-e0ff-442e-9182-a9b55d5945cd,IDFM:TN:SNCF:813f105c-9a62-4f3c-92d1-37ee3961914d,IDFM:TN:SNCF:85540905-0742-467f-98db-93299a60e65c,IDFM:TN:SNCF:89923f1e-e7df-4b7c-b853-88c954e275bd,IDFM:TN:SNCF:99b04325-a939-4fc8-a3c2-b70ed977726b,IDFM:TN:SNCF:9e73b46d-f347-49ee-b201-b20e4d240111,IDFM:TN:SNCF:a097d716-b65b-4b03-9163-1c2d45c07c3f,IDFM:TN:SNCF:a403b676-140a-409f-b2d4-33d0bdf4ecb7,IDFM:TN:SNCF:a7406804-08d1-4cc1-853a-1428afee469d,IDFM:TN:SNCF:c9122527-c204-41a0-97e6-320796b2304d,IDFM:TN:SNCF:ca4422d9-f66b-4fbc-b2ba-5c8eb051226d,IDFM:TN:SNCF:d6f893cd-f9b9-455f-9b2c-fb1fbe4a6732,IDFM:TN:SNCF:d930840c-6651-47b1-823d-a9674e3b11e7,IDFM:TN:SNCF:dc5c89c2-850c-4c76-8861-f244d94f94e8,IDFM:TN:SNCF:e505a833-e60d-4bdb-b202-ff5aaa390a48,IDFM:TN:SNCF:ec59d81b-6b62-4476-9d29-a1eae094312e,IDFM:TN:SNCF:f7e5d578-d788-40c4-bc42-8371f491b7de","IDFM:411379,IDFM:411382,IDFM:411385,IDFM:69072,IDFM:68918,IDFM:68980,IDFM:68984,IDFM:68963,IDFM:71359"
4227968276,Crépy-en-Valois - (6) -> Mitry - Claye,"IDFM:TN:SNCF:14b73644-0ecd-4eee-8946-84162504908f,IDFM:TN:SNCF:4ec4b178-0d58-4d82-b46c-135a9942a03d,IDFM:TN:SNCF:691deb3e-7265-4274-adf6-78adfba4e7bd,IDFM:TN:SNCF:6c1be812-fe2f-485a-aa71-23539d0712c8,IDFM:TN:SNCF:97e463b3-fcd3-4b54-a73a-f7f20762a14f,IDFM:TN:SNCF:a4d541ff-4b44-4525-b788-6e4e11b04851,IDFM:TN:SNCF:cb2ebf37-c7f4-42b9-b67b-e08f0afab90e,IDFM:TN:SNCF:cce56d03-e11b-47bd-b9ce-38a0935336b2,IDFM:TN:SNCF:d58e5f67-298e-4ac4-a0cc-666b2783d2e0,IDFM:TN:SNCF:e087316e-0e80-48b7-967f-0bd6ec55ba98,IDFM:TN:SNCF:edf8a3d6-58a8-42a8-bdce-cbf3fa38483b","IDFM:411397,IDFM:411388,IDFM:411391,IDFM:411406,IDFM:69254,IDFM:69196,IDFM:69136,IDFM:69065"
1499304054,Crépy-en-Valois - (8) -> Gare du Nord,"IDFM:TN:SNCF:124fe2c5-244f-4610-8bc4-e3e45a666fb1,IDFM:TN:SNCF:40bc2283-fdeb-4619-95f7-fd0d0c21eca1,IDFM:TN:SNCF:41d2abf7-5345-427f-a641-bc1da3ced8e0,IDFM:TN:SNCF:48741002-b944-432c-a5e1-429a4f7de01b,IDFM:TN:SNCF:4ef46760-ccec-43c9-bfeb-3b74bf7ffab5,IDFM:TN:SNCF:730067a5-8ec4-4f10-b2da-28b200d3cad5,IDFM:TN:SNCF:97d59658-7cb3-4bf4-8966-229a795aca5f,IDFM:TN:SNCF:c9160a9e-0e71-4d11-92d8-f11cba9b2915,IDFM:TN:SNCF:c9486f01-c8be-4943-9de3-207ebe525ece,IDFM:TN:SNCF:d317def5-5a90-4f61-9893-a0d0eb0a30fc,IDFM:TN:SNCF:e4e753df-ab0c-47d1-a274-af8ed596d5f2,IDFM:TN:SNCF:e96de3ec-5b0e-4c3b-95b7-85d22f864261,IDFM:TN:SNCF:f557856e-8517-49de-9205-d2f3ac12cc90","IDFM:411397,IDFM:411388,IDFM:411391,IDFM:411406,IDFM:69254,IDFM:69196,IDFM:69136,IDFM:69065,IDFM:72646,IDFM:71410"
3561533531,Crépy-en-Valois - (5) -> Gare du Nord,"IDFM:TN:SNCF:4c51d804-897f-4915-a166-8d6f8eea820b,IDFM:TN:SNCF:a68eb124-e52b-4d5b-b07b-6189fea9e897,IDFM:TN:SNCF:d1129f86-97e6-4b58-8a26-6b2168af43ff,IDFM:TN:SNCF:d73f7243-92be-42d4-b243-6b679b3c33c4,IDFM:TN:SNCF:f5006ab9-1741-4c72-9f2f-aace6e691dc9","IDFM:411397,IDFM:411391,IDFM:411406,IDFM:69254,IDFM:69065,IDFM:72646,IDFM:71410"
3430558995,Orry-la-Ville - Coye - (2) -> Louvres,"IDFM:TN:SNCF:028b3d34-787a-4861-8b50-f975fc5ac4f1,IDFM:TN:SNCF:03146b0c-9d6c-436c-9f50-dd27db19887f,IDFM:TN:SNCF:0a807123-197c-4f46-9f8d-ec3d82cfc232,IDFM:TN:SNCF:0ec180e2-843c-4fa1-b8ff-8b2d5ca03b04,IDFM:TN:SNCF:11351974-eef5-40dd-aff5-393855fe8db5,IDFM:TN:SNCF:13125512-7adf-4422-a3ce-24bf84603a26,IDFM:TN:SNCF:133def22-f87f-419e-bc97-e07be3137830,IDFM:TN:SNCF:13d03e8f-2f85-4f1d-a3b9-28fac6b61755,IDFM:TN:SNCF:18260a86-c615-49bd-a691-12ccb77f7544,IDFM:TN:SNCF:213f43bf-ef8e-43f6-b319-47c99885e571,IDFM:TN:SNCF:23fef38f-480f-4cd7-88a1-a6453b813b9f,IDFM:TN:SNCF:2b47edef-bf9b-402e-beed-3c80af9b02ea,IDFM:TN:SNCF:2b5a2145-3833-4320-b557-e663787109fa,IDFM:TN:SNCF:2f1ba920-766c-4f89-83d6-02a3b8f4ece0,IDFM:TN:SNCF:2f96be79-a9c4-49db-8029-783a9ebe7fe0,IDFM:TN:SNCF:3496e7a3-d895-453d-b3bc-7bcada927c67,IDFM:TN:SNCF:38dbb23d-beda-4271-8a32-1bb960f34428,IDFM:TN:SNCF:3fa21b17-32bc-4b9c-9e25-1977d64f6d75,IDFM:TN:SNCF:413db70b-1cf6-4d05-8530-78d83c4a9c89,IDFM:TN:SNCF:444355ce-9c54-4b9a-bebd-d800f9606a64,IDFM:TN:SNCF:458ced88-e73a-4f57-91e9-f20679c2bd0a,IDFM:TN:SNCF:528c7bac-20dc-4e07-93b8-a25d8d148446,IDFM:TN:SNCF:5754119a-5205-4d53-a080-940236d92a09,IDFM:TN:SNCF:58443376-2c4b-431b-a391-b8e82c50943c,IDFM:TN:SNCF:5a67b1bd-7885-459c-9fb6-9eaeea47a63b,IDFM:TN:SNCF:5da8bd72-8bdc-414f-9950-c7680278b670,IDFM:TN:SNCF:5fb70344-43d2-487e-af63-dad5d1b5df5e,IDFM:TN:SNCF:60d20c58-2867-4147-8442-10f1c874bf51,IDFM:TN:SNCF:64ee0e6c-3f0a-475b-9044-54d6aa339907,IDFM:TN:SNCF:6b37e490-10e4-4396-a667-9d6ab1c56f28,IDFM:TN:SNCF:743108c3-d3ef-42d5-80b7-7ff5e9bc719b,IDFM:TN:SNCF:7620ef87-7b83-454f-ac68-00b43a2338b3,IDFM:TN:SNCF:79aa62ed-2e93-46cc-a690-9afa3335e5ca,IDFM:TN:SNCF:7ab1f6c3-9230-4523-81d0-5a85530a0b90,IDFM:TN:SNCF:7af15208-6fe4-44bb-b3e2-15e342dfc1d4,IDFM:TN:SNCF:8426b71e-5dbe-4c17-9e7d-3b591877a5a9,IDFM:TN:SNCF:85479cea-92f3-488f-9d83-c7ea9886c9a2,IDFM:TN:SNCF:92a75d50-a437-4a78-acd5-ef1ee136fda5,IDFM:TN:SNCF:92e35617-60df-42f2-b3cb-7c72b9655730,IDFM:TN:SNCF:99ce0bb7-b218-406c-b80a-30068487321c,IDFM:TN:SNCF:9b031c15-4339-471e-b448-19be0831fce4,IDFM:TN:SNCF:9c625f82-19b8-4422-bac8-c2e4548e932c,IDFM:TN:SNCF:a6aa3212-4ebe-4dd5-9f1b-2d204f9ccfc0,IDFM:TN:SNCF:a7c703e9-7258-4c91-aaf5-3bce18e6218a,IDFM:TN:SNCF:a93df5e1-fb5f-4d75-8f3e-e4caccc15ea5,IDFM:TN:SNCF:ac4c0a9d-9d3e-4859-b0e8-4e76eab76729,IDFM:TN:SNCF:aebb5588-d278-40be-9295-153449bfb507,IDFM:TN:SNCF:c77d59fe-f714-422d-ab25-6ae2cc9c08cc,IDFM:TN:SNCF:cbfdc010-3fee-4b31-83ca-5a770b682754,IDFM:TN:SNCF:cfaf1f6b-9489-4a30-9196-4d8519ae704e,IDFM:TN:SNCF:e4db17c2-83b4-4520-a288-8ec3e8c5e5c9,IDFM:TN:SNCF:e4fb8db7-4443-4549-83e2-6436525a4afa,IDFM:TN:SNCF:e53608ce-d1f3-48f9-a369-ad98545f5a53,IDFM:TN:SNCF:f11da2cb-6b24-4224-9aed-7a824af46a1f,IDFM:TN:SNCF:faf335a2-7309-4be0-9408-ae5f02a48551","IDFM:411422,IDFM:411419,IDFM:69450,IDFM:69300"
